Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
226,Gustav Nyquist,CBJ,33,F,48,10,12,22,16,-11,17:48,14:22,1:42,1:43,8,0,2,2,0,12,0,0,1,0,20,0,2,3,0,0.0%,0.702,0.843,1.545,0.696,1.044,1.74,0,0,0,0.208,0.25,0.458,97,10.3%,39,28,14,18,43.75%
227,Mike Hoffman,MTL,33,F,50,10,16,26,20,-3,15:19,12:33,2:44,0:01,9,1,0,3,2,10,6,0,4,2,19,7,0,7,4,26.9%,0.783,1.253,2.036,0.86,0.955,1.815,0.439,2.634,3.073,0.2,0.32,0.52,113,8.9%,19,19,15,8,65.22%
228,Mike Amadio,VGK,26,F,50,10,9,19,10,-4,12:07,11:29,0:37,0:00,9,1,0,1,0,8,1,0,3,0,17,2,0,4,0,10.5%,0.99,0.891,1.881,0.939,0.835,1.774,1.928,1.928,3.856,0.2,0.18,0.38,76,13.2%,44,14,26,27,49.06%
229,Nic Dowd,WSH,32,F,51,10,11,21,26,6,12:58,10:42,0:01,2:15,10,0,0,3,0,10,0,1,3,1,20,0,1,6,1,0.0%,0.906,0.997,1.903,1.099,1.099,2.198,0,0,0,0.196,0.216,0.412,48,20.8%,108,40,340,332,50.60%
230,Teuvo Teräväinen,CAR,28,F,52,10,23,33,14,10,16:36,12:18,2:25,1:52,3,5,2,1,0,16,6,1,4,0,19,11,3,5,0,33.3%,0.695,1.598,2.292,0.281,1.5,1.781,2.379,2.855,5.235,0.192,0.442,0.635,120,8.3%,13,13,28,14,66.67%
231,Sonny Milano,WSH,26,F,52,10,18,28,14,-2,13:09,12:14,0:55,0:00,9,1,0,3,0,14,4,0,3,1,23,5,0,6,1,17.9%,0.877,1.578,2.454,0.849,1.32,2.169,1.245,4.979,6.224,0.192,0.346,0.538,71,14.1%,35,11,0,0,0.00%
232,Ryan McLeod,EDM,23,F,52,10,10,20,12,3,14:23,11:48,0:55,1:39,8,0,2,0,0,9,0,1,1,0,17,0,3,1,0,0.0%,0.802,0.802,1.604,0.781,0.879,1.66,0,0,0,0.192,0.192,0.385,70,14.3%,34,20,273,288,48.66%
233,Seth Jones,CHI,28,D,53,10,21,31,26,-21,24:39,19:12,3:26,2:00,9,1,0,1,1,11,9,1,3,0,20,10,1,4,1,32.3%,0.459,0.964,1.423,0.531,0.649,1.179,0.328,2.956,3.285,0.189,0.396,0.585,141,7.1%,83,102,0,0,0.00%
234,Aaron Ekblad,FLA,26,D,54,10,18,28,52,-14,23:32,17:19,3:24,2:47,4,5,1,2,0,9,9,0,4,0,13,14,1,6,0,50.0%,0.472,0.85,1.321,0.256,0.577,0.834,1.627,2.928,4.555,0.185,0.333,0.519,170,5.9%,58,65,0,0,0.00%
235,Kevin Labanc,SJS,27,F,55,10,16,26,26,-11,14:28,13:06,1:21,0:00,8,2,0,0,0,15,1,0,1,0,23,3,0,1,0,11.5%,0.754,1.206,1.959,0.665,1.248,1.913,1.605,0.802,2.407,0.182,0.291,0.473,97,10.3%,47,21,3,3,50.00%
236,Sam Lafferty,TOR,27,F,55,10,12,22,30,-9,14:57,12:29,0:34,1:52,6,0,4,1,0,11,0,1,2,1,17,0,5,3,1,0.0%,0.729,0.875,1.604,0.524,0.96,1.484,0,0,0,0.182,0.218,0.4,87,11.5%,96,24,225,205,52.33%
237,Jean-Gabriel Pageau,NYI,30,F,56,10,19,29,10,-9,18:00,13:16,2:37,2:06,3,5,2,2,0,16,3,0,8,2,19,8,2,10,2,27.6%,0.595,1.131,1.726,0.242,1.292,1.534,2.037,1.222,3.259,0.179,0.339,0.518,97,10.3%,142,47,598,460,56.52%
238,Michael Rasmussen,DET,23,F,56,10,19,29,43,2,15:05,12:53,0:30,1:41,10,0,0,0,0,18,1,0,4,2,28,1,0,4,2,3.4%,0.71,1.349,2.059,0.831,1.496,2.327,0,2.104,2.104,0.179,0.339,0.518,88,11.4%,119,48,203,195,51.01%
239,Sean Kuraly,CBJ,29,F,59,10,7,17,66,-18,14:49,12:24,0:08,2:16,9,0,1,0,0,6,0,1,2,0,15,0,2,2,0,0.0%,0.686,0.48,1.166,0.738,0.492,1.229,0,0,0,0.169,0.119,0.288,86,11.6%,156,40,470,488,49.06%
240,Stefan Noesen,CAR,29,F,59,10,17,27,19,8,11:54,9:07,2:46,0:00,3,7,0,4,0,11,6,0,0,0,14,13,0,4,0,48.1%,0.854,1.452,2.307,0.334,1.225,1.56,2.57,2.203,4.773,0.169,0.288,0.458,102,9.8%,83,14,34,27,55.74%
241,Anthony DeAngelo,PHI,27,D,59,10,24,34,67,-28,22:24,17:58,3:12,1:13,7,3,0,1,1,12,12,0,0,0,19,15,0,1,1,44.1%,0.454,1.089,1.543,0.396,0.679,1.074,0.953,3.813,4.767,0.169,0.407,0.576,144,6.9%,49,69,0,0,0.00%
242,Nick Foligno,BOS,35,F,60,10,16,26,45,18,12:21,10:50,1:23,0:08,8,2,0,1,0,13,3,0,3,0,21,5,0,4,0,19.2%,0.809,1.294,2.103,0.738,1.199,1.937,1.439,2.159,3.598,0.167,0.267,0.433,71,14.1%,147,29,40,32,55.56%
