Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
290,Jakob Chychrun,OTT,24,D,39,8,22,30,26,10,23:00,19:20,2:53,0:46,4,4,0,0,0,19,3,0,3,1,23,7,0,3,1,23.3%,0.535,1.471,2.007,0.318,1.511,1.83,2.133,1.6,3.732,0.205,0.564,0.769,120,6.7%,46,63,0,0,0.00%
291,Kailer Yamamoto,EDM,24,F,41,8,9,17,16,5,16:45,14:20,0:46,1:38,7,0,1,3,0,9,0,0,3,0,16,0,1,6,0,0.0%,0.699,0.786,1.485,0.714,0.918,1.632,0,0,0,0.195,0.22,0.415,68,11.8%,62,17,5,3,62.50%
292,Shea Theodore,VGK,27,D,44,8,27,35,8,19,21:51,19:28,2:21,0:01,6,2,0,2,1,22,5,0,6,2,28,7,0,8,3,20.0%,0.499,1.684,2.183,0.42,1.541,1.961,1.156,2.89,4.046,0.182,0.614,0.795,122,6.6%,14,63,0,0,0.00%
293,Kristopher Letang,PIT,35,D,45,8,21,29,26,-12,24:06,20:08,3:20,0:38,3,4,1,2,2,13,8,0,4,0,16,12,1,6,2,41.4%,0.442,1.161,1.604,0.199,0.861,1.059,1.599,3.198,4.797,0.178,0.467,0.644,100,8.0%,119,79,0,0,0.00%
294,Wade Allison,PHI,25,F,45,8,5,13,34,5,12:34,12:12,0:21,0:00,8,0,0,2,0,5,0,0,0,0,13,0,0,2,0,0.0%,0.848,0.53,1.378,0.874,0.546,1.42,0,0,0,0.178,0.111,0.289,65,12.3%,137,45,1,2,33.33%
295,Sam Gagner,WPG,33,F,48,8,6,14,13,-4,12:10,10:36,1:32,0:00,7,1,0,2,0,4,2,0,2,0,11,3,0,4,0,21.4%,0.822,0.616,1.438,0.824,0.471,1.295,0.811,1.621,2.432,0.167,0.125,0.292,78,10.3%,16,14,14,32,30.43%
296,Evgeny Svechnikov,SJS,26,F,49,8,6,14,22,-3,10:45,10:20,0:25,0:00,8,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0.0%,0.91,0.683,1.593,0.948,0.711,1.658,0,0,0,0.163,0.122,0.286,58,13.8%,83,16,6,5,54.55%
297,Cody Glass,NSH,23,F,51,8,16,24,14,9,13:41,11:48,1:45,0:07,5,3,0,0,0,15,1,0,5,1,20,4,0,5,1,16.7%,0.687,1.375,2.062,0.498,1.495,1.994,2.001,0.667,2.668,0.157,0.314,0.471,81,9.9%,50,17,225,250,47.37%
298,Cole Perfetti,WPG,20,F,51,8,22,30,16,10,14:58,13:17,1:41,0:00,7,1,0,0,0,18,4,0,3,0,25,5,0,3,0,16.7%,0.629,1.729,2.358,0.62,1.594,2.214,0.699,2.795,3.494,0.157,0.431,0.588,90,8.9%,35,22,3,8,27.27%
299,John Klingberg,MIN,30,D,52,8,16,24,30,-25,20:53,18:40,2:10,0:02,7,1,0,3,1,11,5,0,2,2,18,6,0,5,3,25.0%,0.442,0.884,1.326,0.433,0.68,1.112,0.53,2.649,3.179,0.154,0.308,0.462,81,9.9%,51,66,0,0,0.00%
300,Sam Steel,MIN,24,F,54,8,15,23,14,8,15:14,13:24,0:53,0:57,8,0,0,2,0,12,3,0,4,1,20,3,0,6,1,13.0%,0.583,1.093,1.676,0.663,0.994,1.657,0,3.771,3.771,0.148,0.278,0.426,72,11.1%,36,13,283,298,48.71%
301,Alex Pietrangelo,VGK,32,D,55,8,27,35,12,1,24:04,19:17,2:29,2:17,7,1,0,3,1,17,10,0,6,1,24,11,0,9,2,31.4%,0.362,1.223,1.586,0.396,0.961,1.357,0.437,4.372,4.809,0.145,0.491,0.636,131,6.1%,56,140,1,0,100.00%
302,Peyton Krebs,BUF,21,F,55,8,11,19,44,-9,13:30,11:57,0:53,0:39,6,1,1,0,0,10,1,0,5,1,16,2,1,5,1,10.5%,0.646,0.889,1.535,0.548,0.913,1.46,1.217,1.217,2.434,0.145,0.2,0.345,52,15.4%,70,15,181,213,45.94%
303,Kyle Okposo,BUF,34,F,56,8,15,23,22,-1,14:51,12:26,1:02,1:22,6,1,1,2,0,12,3,0,3,0,18,4,1,5,0,17.4%,0.577,1.082,1.659,0.517,1.033,1.55,1.029,3.087,4.117,0.143,0.268,0.411,115,7.0%,63,16,108,131,45.19%
304,Eric Robinson,CBJ,27,F,57,8,10,18,6,-12,14:15,11:58,0:00,2:16,8,0,0,1,0,8,0,2,0,0,16,0,2,1,0,0.0%,0.59,0.738,1.329,0.703,0.703,1.407,0,0,0,0.14,0.175,0.316,85,9.4%,104,21,3,12,20.00%
305,Joshua Bailey,NYI,33,F,58,8,17,25,2,4,15:18,12:35,1:26,1:16,8,0,0,2,0,14,3,0,2,0,22,3,0,4,0,12.0%,0.541,1.149,1.69,0.657,1.15,1.808,0,2.152,2.152,0.138,0.293,0.431,70,11.4%,11,25,38,50,43.18%
306,John Peterka,BUF,20,F,59,8,13,21,22,-8,13:35,12:12,1:16,0:06,7,1,0,1,0,10,3,0,0,0,17,4,0,1,0,19.0%,0.599,0.973,1.572,0.583,0.833,1.416,0.801,2.402,3.203,0.136,0.22,0.356,93,8.6%,16,7,5,3,62.50%
307,Jesper Fast,CAR,31,F,60,8,14,22,10,9,14:47,12:54,0:20,1:32,8,0,0,1,0,11,0,3,3,0,19,0,3,4,0,0.0%,0.541,0.947,1.488,0.62,0.853,1.473,0,0,0,0.133,0.233,0.367,59,13.6%,77,31,9,12,42.86%
308,Paul Stastny,CAR,37,F,61,8,12,20,14,2,12:14,10:23,1:47,0:03,6,2,0,3,0,10,2,0,2,0,16,4,0,5,0,20.0%,0.643,0.964,1.607,0.568,0.946,1.514,1.099,1.099,2.197,0.131,0.197,0.328,70,11.4%,20,15,248,173,58.91%
309,Zemgus Girgensons,BUF,28,F,61,8,6,14,12,-2,12:42,11:14,0:03,1:25,8,0,0,0,0,6,0,0,1,0,14,0,0,1,0,0.0%,0.619,0.464,1.083,0.7,0.525,1.225,0,0,0,0.131,0.098,0.23,79,10.1%,73,34,80,88,47.62%
310,Rasmus Andersson,CGY,26,D,62,8,31,39,22,4,24:17,18:53,3:01,2:22,8,0,0,4,1,13,17,1,6,2,21,17,1,10,3,43.6%,0.319,1.235,1.554,0.41,0.666,1.075,0,5.444,5.444,0.129,0.5,0.629,132,6.1%,44,106,0,0,0.00%
311,Justin Faulk,STL,30,D,63,8,25,33,24,-16,23:34,19:20,2:28,1:45,6,2,0,2,1,20,5,0,0,0,26,7,0,2,1,21.2%,0.323,1.01,1.333,0.295,0.985,1.28,0.77,1.925,2.695,0.127,0.397,0.524,160,5.0%,101,104,0,0,0.00%
312,Radek Faksa,DAL,28,F,64,8,6,14,33,3,13:38,11:30,0:11,1:56,7,0,1,3,0,5,0,1,1,0,12,0,2,4,0,0.0%,0.55,0.413,0.963,0.57,0.407,0.978,0,0,0,0.125,0.094,0.219,69,11.6%,72,62,249,191,56.59%
313,Adam Lowry,WPG,29,F,64,8,19,27,39,1,15:35,11:51,1:24,2:19,6,0,2,0,0,15,2,2,3,2,21,2,4,3,2,7.4%,0.481,1.143,1.624,0.474,1.186,1.66,0,1.336,1.336,0.125,0.297,0.422,96,8.3%,136,37,454,467,49.29%
314,Ty Dellandrea,DAL,22,F,64,8,15,23,39,11,14:12,11:55,0:02,2:14,8,0,0,2,0,13,0,2,1,0,21,0,2,3,0,0.0%,0.528,0.99,1.518,0.629,1.023,1.652,0,0,0,0.125,0.234,0.359,68,11.8%,99,32,67,67,50.00%
315,Neal Pionk,WPG,27,D,64,8,18,26,31,-7,21:43,18:22,1:45,1:35,7,1,0,1,1,17,1,0,4,0,24,2,0,5,1,7.7%,0.345,0.777,1.122,0.357,0.867,1.224,0.531,0.531,1.062,0.125,0.281,0.406,114,7.0%,137,103,0,0,0.00%
316,Trevor Lewis,CGY,35,F,65,8,8,16,12,-5,12:20,10:21,0:09,1:49,6,1,1,1,0,8,0,0,0,0,14,1,1,1,0,6.3%,0.598,0.598,1.196,0.534,0.713,1.247,5.96,0,5.96,0.123,0.123,0.246,124,6.5%,125,26,90,125,41.86%
317,Gustav Forsling,FLA,26,D,65,8,25,33,36,16,23:34,19:14,1:23,2:56,7,1,0,2,0,20,4,1,2,0,27,5,1,4,0,15.2%,0.313,0.979,1.292,0.336,0.959,1.295,0.663,2.653,3.317,0.123,0.385,0.508,159,5.0%,55,86,0,0,0.00%
318,Tom Wilson,WSH,28,F,16,7,3,10,26,-14,15:51,13:02,1:34,1:14,5,2,0,1,1,3,0,0,0,0,8,2,0,1,1,20.0%,1.655,0.709,2.364,1.437,0.862,2.3,4.746,0,4.746,0.438,0.188,0.625,33,21.2%,55,7,4,4,50.00%
319,Robby Fabbri,DET,26,F,27,7,9,16,22,0,16:24,13:36,2:46,0:01,4,3,0,3,1,4,5,0,2,0,8,8,0,5,1,50.0%,0.948,1.219,2.166,0.653,0.653,1.306,2.397,3.996,6.393,0.259,0.333,0.593,33,21.2%,49,15,10,16,38.46%
320,Oliver Wahlstrom,NYI,22,F,35,7,9,16,32,5,12:09,11:05,1:03,0:00,6,1,0,1,0,9,0,0,1,0,15,1,0,2,0,6.3%,0.986,1.268,2.255,0.927,1.39,2.317,1.608,0,1.608,0.2,0.257,0.457,70,10.0%,50,15,7,13,35.00%
321,Calle Rosén,STL,28,D,38,7,8,15,8,14,15:23,14:26,0:19,0:37,7,0,0,2,0,8,0,0,0,0,15,0,0,2,0,0.0%,0.718,0.821,1.539,0.765,0.875,1.64,0,0,0,0.184,0.211,0.395,49,14.3%,13,37,0,0,0.00%
322,Brandon Duhaime,MIN,25,F,39,7,1,8,38,4,10:08,9:17,0:03,0:48,6,0,1,2,0,1,0,0,0,0,7,0,1,2,0,0.0%,1.062,0.152,1.214,0.994,0.166,1.16,0,0,0,0.179,0.026,0.205,57,12.3%,115,13,4,5,44.44%
323,Carl Grundström,LAK,25,F,41,7,5,12,16,-6,10:44,9:55,0:06,0:42,6,1,0,1,0,5,0,0,0,0,11,1,0,1,0,8.3%,0.954,0.681,1.635,0.885,0.738,1.623,13.333,0,13.333,0.171,0.122,0.293,60,11.7%,103,10,3,4,42.86%
324,Trevor Moore,LAK,27,F,42,7,13,20,8,-4,17:19,13:36,2:10,1:31,5,1,1,1,0,8,5,0,3,1,13,6,1,4,1,30.0%,0.577,1.072,1.65,0.525,0.84,1.364,0.655,3.275,3.93,0.167,0.31,0.476,123,5.7%,44,13,8,19,29.63%
325,Jaret Anderson-Dolan,LAK,23,F,43,7,5,12,2,-9,10:39,10:06,0:23,0:10,7,0,0,2,0,4,1,0,0,0,11,1,0,2,0,8.3%,0.916,0.654,1.57,0.966,0.552,1.518,0,3.622,3.622,0.163,0.116,0.279,53,13.2%,54,28,23,16,58.97%
326,Adam Erne,DET,27,F,46,7,8,15,15,-8,13:44,12:06,0:01,1:36,7,0,0,1,0,7,0,1,1,0,14,0,1,2,0,0.0%,0.664,0.759,1.423,0.754,0.754,1.508,0,0,0,0.152,0.174,0.326,40,17.5%,130,45,9,12,42.86%
327,Denis Malgin,COL,25,F,46,7,4,11,8,-3,10:38,9:48,0:49,0:00,7,0,0,0,0,3,1,0,1,0,10,1,0,1,0,9.1%,0.858,0.49,1.349,0.931,0.399,1.329,0,1.588,1.588,0.152,0.087,0.239,80,8.8%,46,14,4,3,57.14%
328,Julien Gauthier,OTT,25,F,48,7,4,11,4,-6,8:37,8:35,0:01,0:00,7,0,0,0,0,4,0,0,1,0,11,0,0,1,0,0.0%,1.014,0.58,1.594,1.018,0.582,1.6,0,0,0,0.146,0.083,0.229,47,14.9%,86,7,3,5,37.50%
329,Colin White,FLA,25,F,51,7,7,14,8,5,10:24,9:47,0:34,0:02,7,0,0,0,0,7,0,0,1,0,14,0,0,1,0,0.0%,0.791,0.791,1.583,0.841,0.841,1.681,0,0,0,0.137,0.137,0.275,54,13.0%,39,22,63,83,43.15%
330,Oscar Sundqvist,MIN,28,F,53,7,14,21,20,-4,14:13,11:02,2:12,0:57,5,2,0,0,0,9,5,0,2,0,14,7,0,2,0,33.3%,0.557,1.115,1.672,0.512,0.922,1.435,1.026,2.565,3.591,0.132,0.264,0.396,60,11.7%,42,25,25,35,41.67%
331,Jesper Boqvist,NJD,24,F,53,7,8,15,0,5,11:05,10:31,0:06,0:26,7,0,0,2,0,8,0,0,2,0,15,0,0,4,0,0.0%,0.715,0.817,1.531,0.752,0.86,1.612,0,0,0,0.132,0.151,0.283,47,14.9%,31,15,53,105,33.54%
332,Morgan Geekie,SEA,24,F,54,7,13,20,20,13,10:17,9:16,0:00,1:00,7,0,0,3,0,13,0,0,3,0,20,0,0,6,0,0.0%,0.756,1.404,2.16,0.839,1.557,2.396,0,0,0,0.13,0.241,0.37,55,12.7%,48,26,241,245,49.59%
333,Austin Watson,OTT,30,F,59,7,2,9,99,-9,10:12,8:06,0:02,2:03,4,0,3,2,0,2,0,0,1,0,6,0,3,3,0,0.0%,0.697,0.199,0.896,0.502,0.251,0.753,0,0,0,0.119,0.034,0.153,63,11.1%,139,44,4,7,36.36%
334,Jack Roslovic,CBJ,25,F,61,7,29,36,10,-5,16:21,12:35,2:04,1:41,4,1,2,1,0,23,5,1,6,0,27,6,3,7,0,16.7%,0.421,1.744,2.165,0.313,1.797,2.11,0.475,2.373,2.848,0.115,0.475,0.59,93,7.5%,36,43,338,408,45.31%
335,Hampus Lindholm,BOS,28,D,62,7,34,41,44,41,23:19,18:57,2:11,2:10,6,1,0,2,1,23,11,0,4,0,29,12,0,6,1,29.3%,0.29,1.41,1.701,0.306,1.174,1.48,0.441,4.854,5.295,0.113,0.548,0.661,131,5.3%,61,76,0,0,0.00%
336,Mikhail Sergachyov,TBL,24,D,62,7,37,44,51,9,23:53,19:04,2:25,2:22,5,2,0,1,0,18,18,1,10,1,23,20,1,11,1,45.5%,0.284,1.499,1.783,0.254,0.913,1.167,0.796,7.164,7.96,0.113,0.597,0.71,115,6.1%,97,128,0,0,0.00%
337,Joseph Veleno,DET,22,F,62,7,9,16,20,-1,12:19,11:46,0:20,0:12,7,0,0,1,0,7,2,0,2,0,14,2,0,3,0,12.5%,0.55,0.707,1.256,0.575,0.575,1.151,0,5.737,5.737,0.113,0.145,0.258,65,10.8%,120,32,207,281,42.42%
338,Sean Durzi,LAK,24,D,62,7,27,34,37,-11,19:45,16:10,2:09,1:25,6,1,0,1,0,14,13,0,4,0,20,14,0,5,0,41.2%,0.343,1.322,1.665,0.359,0.838,1.197,0.447,5.811,6.259,0.113,0.435,0.548,98,7.1%,60,110,0,0,0.00%
339,Logan O'Connor,COL,26,F,62,7,14,21,31,7,14:41,12:41,0:03,1:56,5,0,2,0,0,13,0,1,3,0,18,0,3,3,0,0.0%,0.461,0.922,1.383,0.381,0.992,1.373,0,0,0,0.113,0.226,0.339,80,8.8%,101,40,1,9,10.00%
340,Erik Gustafsson,TOR,30,D,63,7,31,38,21,8,20:05,17:38,2:17,0:10,7,0,0,2,0,20,11,0,7,3,27,11,0,9,3,28.9%,0.332,1.469,1.801,0.378,1.08,1.458,0,4.58,4.58,0.111,0.492,0.603,116,6.0%,51,58,0,0,0.00%
341,Erik Haula,NJD,31,F,63,7,25,32,39,15,16:36,13:27,1:13,1:56,5,1,1,0,0,20,5,0,2,0,25,6,1,2,0,18.8%,0.401,1.433,1.834,0.354,1.416,1.77,0.78,3.898,4.677,0.111,0.397,0.508,127,5.5%,75,48,458,364,55.72%
342,Steven Lorentz,SJS,26,F,63,7,7,14,14,-13,11:29,10:10,0:08,1:10,6,0,1,0,0,6,0,1,0,0,12,0,2,0,0,0.0%,0.58,0.58,1.159,0.561,0.561,1.123,0,0,0,0.111,0.111,0.222,80,8.8%,100,29,190,210,47.50%
343,Lars Eller,COL,33,F,64,7,9,16,38,-2,15:09,13:12,0:09,1:48,7,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0.0%,0.433,0.556,0.989,0.497,0.639,1.136,0,0,0,0.109,0.141,0.25,104,6.7%,84,36,440,368,54.46%
344,Esa Lindell,DAL,28,D,64,7,12,19,10,31,19:52,16:02,0:02,3:47,7,0,0,1,0,11,0,1,0,0,18,0,1,1,0,0.0%,0.33,0.566,0.896,0.409,0.643,1.052,0,0,0,0.109,0.188,0.297,92,7.6%,72,127,0,0,0.00%
345,David Kämpf,TOR,27,F,64,7,16,23,6,3,15:18,12:31,0:04,2:42,7,0,0,1,0,14,0,2,3,0,21,0,2,4,0,0.0%,0.429,0.98,1.409,0.524,1.048,1.573,0,0,0,0.109,0.25,0.359,87,8.1%,61,27,468,427,52.29%
346,Alexander Kerfoot,TOR,28,F,64,7,19,26,20,9,14:47,12:25,0:37,1:44,4,2,1,1,0,17,1,1,3,0,21,3,2,4,0,11.5%,0.444,1.204,1.648,0.302,1.283,1.585,2.985,1.493,4.478,0.109,0.297,0.406,106,6.6%,40,39,55,72,43.31%
347,Matthew Martin,NYI,33,F,65,7,12,19,54,4,11:09,11:00,0:03,0:06,7,0,0,1,0,12,0,0,3,0,19,0,0,4,0,0.0%,0.579,0.992,1.571,0.587,1.006,1.593,0,0,0,0.108,0.185,0.292,67,10.5%,248,36,8,13,38.10%
348,Sean Monahan,MTL,28,F,25,6,11,17,16,-5,17:22,12:33,3:09,1:39,5,1,0,0,0,8,3,0,2,1,13,4,0,2,1,23.5%,0.829,1.52,2.349,0.955,1.528,2.483,0.761,2.283,3.044,0.24,0.44,0.68,55,10.9%,10,8,177,144,55.14%
349,Dylan Guenther,ARI,19,F,33,6,9,15,10,-7,13:06,11:08,1:54,0:03,2,4,0,1,0,7,2,0,0,0,9,6,0,1,0,40.0%,0.832,1.248,2.08,0.326,1.142,1.468,3.819,1.909,5.728,0.182,0.273,0.455,53,11.3%,18,11,2,2,50.00%
350,Brett Ritchie,CGY,29,F,34,6,2,8,23,2,9:24,9:14,0:09,0:00,6,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0.0%,1.126,0.375,1.501,1.145,0.382,1.527,0,0,0,0.176,0.059,0.235,46,13.0%,58,5,2,1,66.67%
351,Adam Ruzicka,CGY,23,F,41,6,14,20,8,1,11:40,9:53,1:45,0:00,4,2,0,2,0,10,4,0,1,0,14,6,0,3,0,30.0%,0.753,1.756,2.508,0.592,1.479,2.071,1.662,3.325,4.987,0.146,0.341,0.488,59,10.2%,25,6,72,83,46.45%
352,Jake Walman,DET,26,D,44,6,5,11,29,16,19:12,16:41,0:40,1:50,6,0,0,1,1,4,1,0,1,0,10,1,0,2,1,9.1%,0.426,0.355,0.781,0.49,0.327,0.817,0,2.004,2.004,0.136,0.114,0.25,102,5.9%,37,85,0,0,0.00%
353,Craig Smith,WSH,33,F,47,6,6,12,16,7,10:22,10:09,0:13,0:00,6,0,0,1,0,5,1,0,2,0,11,1,0,3,0,8.3%,0.738,0.738,1.477,0.755,0.629,1.383,0,5.769,5.769,0.128,0.128,0.255,58,10.3%,35,13,1,6,14.29%
354,Dmitry Orlov,BOS,31,D,48,6,22,28,12,8,22:28,19:29,1:16,1:43,5,1,0,2,2,16,5,1,4,0,21,6,1,6,2,21.4%,0.334,1.223,1.557,0.321,1.026,1.347,0.982,4.911,5.894,0.125,0.458,0.583,85,7.1%,96,68,0,0,0.00%
355,Danton Heinen,PIT,27,F,48,6,12,18,12,-4,11:14,10:13,0:59,0:01,5,1,0,0,0,11,1,0,2,0,16,2,0,2,0,11.1%,0.667,1.334,2.001,0.611,1.344,1.955,1.26,1.26,2.519,0.125,0.25,0.375,73,8.2%,57,18,2,3,40.00%
356,Mattias Janmark-Nylén,EDM,30,F,49,6,12,18,20,2,15:20,13:11,0:05,2:03,5,0,1,0,0,11,0,1,1,0,16,0,2,1,0,0.0%,0.479,0.958,1.437,0.464,1.021,1.485,0,0,0,0.122,0.245,0.367,61,9.8%,14,20,14,22,38.89%
357,Fabian Zetterlund,SJS,23,F,50,6,14,20,8,0,13:16,12:28,0:46,0:00,5,1,0,1,1,12,2,0,1,0,17,3,0,2,1,15.0%,0.543,1.266,1.809,0.481,1.155,1.636,1.536,3.072,4.608,0.12,0.28,0.4,90,6.7%,41,14,6,10,37.50%
358,Maxime Comtois,ANA,23,F,50,6,6,12,72,-14,13:37,12:34,0:54,0:07,6,0,0,0,0,6,0,0,1,0,12,0,0,1,0,0.0%,0.529,0.529,1.057,0.572,0.572,1.145,0,0,0,0.12,0.12,0.24,70,8.6%,71,21,12,16,42.86%
359,Morgan Barron,WPG,24,F,52,6,9,15,26,0,14:03,12:17,0:05,1:41,5,0,1,1,0,8,1,0,1,0,13,1,1,2,0,6.7%,0.492,0.738,1.231,0.469,0.751,1.221,0,12.811,12.811,0.115,0.173,0.288,87,6.9%,83,34,8,13,38.10%
360,Joel Kiviranta,DAL,26,F,53,6,0,6,30,-9,12:10,10:27,0:02,1:39,5,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0.0%,0.558,0,0.558,0.541,0,0.541,0,0,0,0.113,0,0.113,70,8.6%,86,15,2,6,25.00%
361,Nate Schmidt,WPG,31,D,54,6,7,13,8,10,18:57,16:09,1:35,1:11,3,3,0,0,0,5,2,0,1,0,8,5,0,1,0,38.5%,0.352,0.41,0.762,0.206,0.344,0.55,2.085,1.39,3.476,0.111,0.13,0.241,76,7.9%,35,66,0,0,0.00%
362,Justin Schultz,SEA,32,D,56,6,23,29,34,6,17:58,15:39,2:14,0:04,5,1,0,3,1,13,10,0,6,2,18,11,0,9,3,37.9%,0.358,1.371,1.729,0.342,0.89,1.232,0.478,4.775,5.253,0.107,0.411,0.518,76,7.9%,24,57,0,0,0.00%
363,Tyson Jost,BUF,24,F,56,6,15,21,30,-9,13:40,12:01,0:05,1:34,6,0,0,0,0,15,0,0,1,0,21,0,0,1,0,0.0%,0.47,1.175,1.645,0.535,1.336,1.871,0,0,0,0.107,0.268,0.375,82,7.3%,49,21,145,224,39.30%
364,Nils Lundkvist,DAL,22,D,57,6,10,16,26,-6,16:43,15:17,1:24,0:02,5,1,0,2,1,8,2,0,3,0,13,3,0,5,1,18.8%,0.378,0.629,1.007,0.344,0.551,0.895,0.75,1.501,2.251,0.105,0.175,0.281,92,6.5%,48,63,0,0,0.00%
365,Vladislav Namestnikov,WPG,30,F,59,6,10,16,19,-1,11:50,10:14,0:51,0:44,6,0,0,0,0,8,2,0,1,0,14,2,0,1,0,12.5%,0.516,0.859,1.375,0.596,0.794,1.39,0,2.385,2.385,0.102,0.169,0.271,74,8.1%,83,25,54,85,38.85%
366,Victor Hedman,TBL,32,D,60,6,36,42,26,10,23:59,19:14,2:55,1:49,6,0,0,1,0,22,12,2,3,0,28,12,2,4,0,28.6%,0.25,1.501,1.751,0.312,1.143,1.455,0,4.106,4.106,0.1,0.6,0.7,144,4.2%,74,109,0,0,0.00%
367,Ryan Graves,NJD,27,D,60,6,15,21,20,31,19:49,17:30,0:03,2:16,6,0,0,1,0,14,0,1,1,0,20,0,1,2,0,0.0%,0.303,0.757,1.059,0.343,0.8,1.143,0,0,0,0.1,0.25,0.35,107,5.6%,69,117,0,0,0.00%
368,K'Andre Miller,NYR,22,D,60,6,24,30,39,1,21:56,19:26,0:32,1:57,6,0,0,2,0,19,3,2,4,1,25,3,2,6,1,10.0%,0.274,1.094,1.368,0.309,0.978,1.286,0,5.516,5.516,0.1,0.4,0.5,86,7.0%,130,74,0,0,0.00%
369,Nick Cousins,FLA,29,F,62,6,17,23,34,2,11:32,11:19,0:11,0:00,6,0,0,2,0,17,0,0,2,0,23,0,0,4,0,0.0%,0.503,1.426,1.93,0.512,1.452,1.964,0,0,0,0.097,0.274,0.371,86,7.0%,61,30,49,48,50.52%
370,Keegan Kolesar,VGK,25,F,62,6,9,15,52,7,11:30,11:23,0:00,0:06,6,0,0,0,0,9,0,0,2,0,15,0,0,2,0,0.0%,0.504,0.757,1.261,0.51,0.764,1.274,0,0,0,0.097,0.145,0.242,52,11.5%,233,28,8,16,33.33%
371,Andrew Copp,DET,28,F,63,6,27,33,21,5,17:44,13:48,1:44,2:12,5,1,0,2,1,25,2,0,2,1,30,3,0,4,2,9.1%,0.322,1.449,1.771,0.345,1.725,2.07,0.547,1.094,1.642,0.095,0.429,0.524,85,7.1%,26,33,467,491,48.75%
372,Darnell Nurse,EDM,27,D,65,6,27,33,58,19,23:44,19:50,0:58,2:54,5,0,1,2,0,25,1,1,6,2,30,1,2,8,2,3.0%,0.233,1.05,1.283,0.233,1.163,1.396,0,0.939,0.939,0.092,0.415,0.508,158,3.8%,112,129,0,0,0.00%
373,Trevor Van Riemsdyk,WSH,31,D,65,6,12,18,15,10,18:51,16:03,0:12,2:36,6,0,0,0,0,11,1,0,0,0,17,1,0,0,0,5.6%,0.294,0.587,0.881,0.345,0.633,0.978,0,4.455,4.455,0.092,0.185,0.277,78,7.7%,21,144,0,0,0.00%
374,Elmer Söderblom,DET,21,F,21,5,3,8,8,0,12:04,10:56,1:07,0:00,5,0,0,2,0,3,0,0,0,0,8,0,0,2,0,0.0%,1.183,0.71,1.893,1.305,0.783,2.089,0,0,0,0.238,0.143,0.381,30,16.7%,21,11,1,3,25.00%
375,Bowen Byram,COL,21,D,24,5,9,14,17,8,21:52,19:12,1:25,1:15,3,1,1,1,0,7,2,0,0,0,10,3,1,1,0,21.4%,0.571,1.028,1.599,0.391,0.911,1.302,1.752,3.504,5.255,0.208,0.375,0.583,38,13.2%,46,35,0,0,0.00%
376,Nikolaj Ehlers,WPG,26,F,28,5,18,23,4,-6,15:53,12:55,2:56,0:01,3,2,0,0,0,12,6,0,1,0,15,8,0,1,0,34.8%,0.674,2.427,3.102,0.497,1.989,2.486,1.461,4.382,5.843,0.179,0.643,0.821,85,5.9%,25,6,1,1,50.00%
377,Drew O'Connor,PIT,24,F,29,5,3,8,6,-3,9:19,8:49,0:02,0:27,5,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0.0%,1.11,0.666,1.776,1.172,0.703,1.876,0,0,0,0.172,0.103,0.276,41,12.2%,43,9,16,19,45.71%
378,Michael Matheson,MTL,28,D,30,5,14,19,23,5,23:54,18:11,3:29,2:14,5,0,0,1,1,9,5,0,1,0,14,5,0,2,1,26.3%,0.418,1.171,1.589,0.55,0.99,1.54,0,2.866,2.866,0.167,0.467,0.633,73,6.9%,43,41,0,0,0.00%
379,Mark Jankowski,NSH,28,F,30,5,3,8,10,2,12:11,10:27,0:06,1:38,4,0,1,2,0,3,0,0,0,0,7,0,1,2,0,0.0%,0.82,0.492,1.312,0.765,0.574,1.339,0,0,0,0.167,0.1,0.267,33,15.2%,29,25,118,93,55.92%
380,Luke Kunin,SJS,25,F,31,5,8,13,42,-9,15:25,12:10,1:24,1:50,3,2,0,0,0,6,2,0,0,0,9,4,0,0,0,30.8%,0.627,1.003,1.63,0.477,0.954,1.432,2.733,2.733,5.467,0.161,0.258,0.419,58,8.6%,63,27,5,7,41.67%
381,Kevin Stenlund,WPG,26,F,36,5,2,7,14,0,12:18,9:53,0:37,1:47,4,0,1,0,0,2,0,0,0,0,6,0,1,0,0,0.0%,0.677,0.271,0.948,0.674,0.337,1.011,0,0,0,0.139,0.056,0.194,48,10.4%,17,18,185,173,51.68%
382,Nathan Bastian,NJD,25,F,36,5,6,11,31,6,12:43,10:23,1:06,1:14,5,0,0,1,0,6,0,0,0,0,11,0,0,1,0,0.0%,0.655,0.785,1.44,0.802,0.962,1.764,0,0,0,0.139,0.167,0.306,53,9.4%,80,33,8,20,28.57%
